,x1,y1,x2,y2
1907,1360,152,760.5716919159731,188.46468960511675
2805,1292,76,601.4976543044677,248.6554860582537
128,136,456,591.5913539086137,358.80443676610776
401,136,608,609.8876999291806,336.30881100497004
511,476,152,534.4541079089404,351.52492165210083
122,1156,380,846.3389064901016,391.70801290442864
584,1156,380,670.2786161856193,370.43161136151116
1665,544,152,676.1720753130508,316.8998528213342
699,408,0,906.7870561124942,299.6087602632497
715,68,76,894.1124146825914,256.38874405532283
297,204,228,452.14900099396755,337.58293088309756
2945,816,608,507.9208628477104,564.8004155456383
2056,68,760,595.6408616665617,518.2901556142426
1431,204,152,345.3164548294408,489.05013089133695
2063,544,760,755.6748910691254,434.4498051217581
1793,680,608,688.7695640774855,352.3698568462405
2252,612,608,587.4580110661464,401.9659589065543
1597,68,760,634.4196314368382,296.331862033117
924,0,0,802.7838542976442,304.8429879007888
449,544,760,586.4203124641408,385.1222539329665
1516,272,456,419.18919547513633,247.40717384200866
324,612,304,595.313398701107,378.82355820935004
2624,340,304,530.3266743892123,373.8723275721602
1955,340,380,346.6329522590386,363.19822017521074
1815,748,684,861.9934975531064,158.58381236536093
1694,1088,228,753.9648909511056,351.0000685705211
1327,272,608,382.242178141566,567.3176655076979
2489,1088,608,723.5129852085333,476.3378042562995
2476,204,608,512.9661452367886,488.0536443293247
620,748,532,583.3516324801694,366.75697414393653
943,1292,0,737.9414737660982,353.1147374213431
1361,1156,684,822.945712446689,590.0322741279922
2301,1088,760,862.4558645847255,539.3830569004501
45,204,152,439.83936575493226,242.2942938152437
2345,1292,76,766.7461403202778,148.54437194866978
2697,1020,532,576.6144367635366,448.8481887351652
1248,612,304,515.809799193426,440.1101832380732
1455,408,228,512.9934794643136,785.64945150771
101,1156,304,781.3297867625906,332.71652360184726
2104,544,76,681.2909909056211,275.0258681243499
1163,544,0,682.4791139038493,161.25384346302326
2143,340,228,581.4510167902768,294.341455753997
1078,476,532,617.5268786715351,427.1006436461589
2608,680,228,532.4323487594606,298.0592598634505
2145,476,228,671.1552992351244,302.6672886282481
619,680,532,574.0320477789405,363.8124521154127
2120,204,152,554.9227001158802,226.17874293596924
1861,1088,0,746.3400281327122,320.4145514140498
2564,544,76,608.3947360077586,309.89585372647844
49,476,152,565.4409744847867,276.52428584210816
242,748,0,630.0217364470991,224.4927569193012
1430,136,152,317.93447552899033,385.14824183588325
473,748,0,575.9572378549142,318.6730104697185
1924,1088,228,717.0031893935402,410.1550508085379
538,884,228,616.5553893371944,385.22473748257676
1057,476,456,611.249315486149,441.78131061981844
2838,680,228,560.3179114466407,271.17234430090025
2112,1088,76,793.1273314094128,263.4800041791407
1107,1020,608,632.6736971749328,448.41921676378684
1897,680,152,639.8062262425528,369.0472029064588
2000,544,532,560.4411008025654,541.2529095586162
331,1088,304,798.1047594689262,381.42516575660215
1219,68,228,607.1768390479042,253.98130466926182
1928,1360,228,790.9310368371207,422.16520394528266
2045,748,684,709.5694460705354,605.0362000587049
1283,136,456,1249.1710898238462,394.0373795298133
2779,952,0,650.6842481122244,211.66665065098618
1445,1156,152,1028.8333888683292,567.7364956877964
636,408,608,489.90023217903126,361.0571226088564
681,612,760,623.4195753041008,333.9564815910089
2093,1224,0,965.0776954779703,261.6042397617766
98,952,304,707.4644379528904,336.807923673058
64,68,228,615.3705915066353,279.63587978135774
2190,680,380,630.2609891350089,532.4964439259102
2679,1224,456,698.3139689840491,420.0996160451018
1354,680,684,562.4613602892127,576.2308266318762
356,1360,380,839.4310041692647,399.52600966833757
2777,816,0,633.0027438550669,212.30908920669208
1819,1020,684,896.3357679380169,325.4853019442007
1602,476,760,373.1844831849121,691.5232652964644
1176,0,76,809.4993521625361,107.05719133975253
2273,612,684,1049.5029786105515,542.3307216771095
2384,1088,228,684.7669630819337,279.4629678854965
43,68,152,545.0083308020298,236.11330051250593
89,340,304,603.4621485814109,344.0114696079106
146,1360,456,869.2698664606023,392.5330615069122
2242,1360,532,277.87996117391594,444.91359233413505
251,1360,0,795.9900533406017,196.5077118903223
1953,204,380,331.13120303688083,316.1440766588937
378,0,532,706.6984455274501,334.4243856586263
1617,136,0,682.1771013322932,472.41361882676324
1007,1360,228,824.7012686750195,413.49679007999725
1659,136,152,629.4419473970524,289.4759199832529
2009,1156,532,828.223608723788,551.8452366307308
528,204,228,483.3092560127111,373.6080598503918
455,952,760,790.2697423602826,382.2301788230386
781,272,304,861.5880877002705,359.50551823999695
1502,748,380,713.1799260548805,262.43896020183524
994,476,228,572.4950145019229,421.7933195364242
2918,408,532,634.4406116045602,395.090292810635
809,748,380,893.7462039237257,378.48373724554926
2320,1020,0,649.609911538008,202.28805026276586
1535,136,532,508.68043047941273,259.5962291519638
262,680,76,643.8971875645411,302.42961036145016
2879,612,380,684.6374653341718,421.2145380158238
2374,408,228,560.9289536061083,207.75871276354178
91,476,304,576.6297282282476,316.42585199353175
2648,544,380,524.8259296972083,631.9412648637688
2951,1224,608,700.7899459768364,448.0763803166003
1453,272,228,325.7705735248637,784.4478415960682
158,748,532,651.6754804654684,376.15111463027984
630,0,608,692.89302358738,370.29376941747114
1211,952,152,701.2331966124484,288.2856823098614
2659,1292,380,550.6083074562662,609.9499512301347
1284,204,456,374.17674595611606,405.4378790237606
1019,748,304,670.3862697295517,396.5795034539931
888,408,684,921.2217224476813,343.90219319974176
1179,204,76,481.16806338886954,144.21992695744825
2219,1224,456,768.2517726629335,571.9477277740405
271,1292,76,828.5720352188723,278.755751466874
145,1292,456,816.4708727009402,393.38858409121576
1323,0,608,784.1898987544891,515.7081058064082
1347,204,684,398.95617202767426,485.3194020257704
1317,1020,532,535.8694537895735,299.02650657900085
2790,272,76,525.4666647216895,255.92537378809743
1425,1224,76,222.56956765433642,135.46124071526924
1921,884,228,576.181698592924,371.71492217732543
30,612,76,571.5561900694229,227.09985400704272
2450,1292,456,790.8253105283834,460.14226528766085
2940,476,608,554.9646320368024,601.252977682778
406,476,608,482.1401089649612,309.69487832083496
2647,476,380,531.911024846926,614.1163712978248
2866,1156,304,609.7315145134967,288.8014214623702
2626,476,304,492.3350638935881,390.1073892169363
2363,1088,152,771.1898669416428,198.3388688931568
2832,272,228,569.254891242073,321.7073252500513
1830,340,760,637.5659228364152,336.2245910092756
2930,1224,532,678.2229808278171,352.19876515807186
2688,408,532,612.0916389873291,518.0851543054976
2703,0,608,652.5907945789477,436.7308981971312
1055,340,456,580.7796040650401,463.68840239383167
369,816,456,700.7703991450085,344.2979098650392
124,1292,380,857.2577923762847,373.2455571670748
1309,476,532,526.0107474678653,566.0330640824809
1776,952,532,749.9497375699425,414.2508710051477
474,816,0,554.7082967047522,311.89208008686273
2750,340,760,557.9805196939596,539.6475205665563
282,612,152,1044.9800036628908,366.31116462632576
2798,816,76,591.5657835194388,269.5348571821671
303,612,228,571.6325263897238,341.8973061166744
708,1020,0,983.2978456941241,305.30195230851973
