,x1,y1,x2,y2
1907,1360,152,1016.6,212.04
2805,1292,76,873.12,43.32
128,136,456,233.92,446.88
401,136,608,450.16,589.76
511,476,152,501.16,197.6
122,1156,380,1219.24,382.28
584,1156,380,1259.36,376.2
1665,544,152,459.0,206.72
699,408,0,442.0,18.24
715,68,76,300.56,55.48
297,204,228,382.84,240.92
2945,816,608,619.48,596.6
2056,68,760,574.6,573.8
1431,204,152,257.04,301.72
2063,544,760,584.12,394.44
1793,680,608,591.6,494.0
2252,612,608,457.64,468.92
1597,68,760,466.48,338.2
924,0,0,565.76,207.48
449,544,760,474.64,715.92
1516,272,456,261.12,418.0
324,612,304,510.68,310.08
2624,340,304,276.08,427.88
1955,340,380,267.92,389.88
1815,748,684,688.16,338.96
1694,1088,228,930.24,266.0
1327,272,608,314.16,561.64
2489,1088,608,1162.8,622.44
2476,204,608,306.0,583.68
620,748,532,665.04,524.4
943,1292,0,1247.8,41.8
1361,1156,684,1015.92,671.84
2301,1088,760,481.44,704.52
45,204,152,284.24,160.36
2345,1292,76,1293.36,112.48
2697,1020,532,840.48,497.04
1248,612,304,369.92,321.48
1455,408,228,396.44,228.0
101,1156,304,1179.12,373.16
2104,544,76,561.0,92.72
1163,544,0,568.48,9.12
2143,340,228,277.44,213.56
1078,476,532,342.72,497.04
2608,680,228,625.6,247.0
2145,476,228,413.44,227.24
619,680,532,349.52,546.44
2120,204,152,338.64,259.92
1861,1088,0,839.8,25.08
2564,544,76,734.4,85.12
49,476,152,294.44,163.4
242,748,0,539.92,3.8
1430,136,152,276.76,269.8
473,748,0,928.2,21.28
1924,1088,228,1045.16,367.08
538,884,228,799.68,278.92
1057,476,456,272.0,395.2
2838,680,228,766.36,195.32
2112,1088,76,813.28,104.12
1107,1020,608,1074.4,600.4
1897,680,152,493.0,221.92
2000,544,532,620.84,558.6
331,1088,304,1105.68,347.32
1219,68,228,457.64,285.76
1928,1360,228,1049.24,489.44
2045,748,684,518.16,583.68
1283,136,456,417.52,402.04
2779,952,0,820.76,34.96
1445,1156,152,1211.76,253.84
636,408,608,303.28,557.08
681,612,760,654.84,753.92
2093,1224,0,1206.32,218.12
98,952,304,907.8,404.32
64,68,228,480.76,232.56
2190,680,380,605.2,378.48
2679,1224,456,1132.2,377.72
1354,680,684,429.76,674.12
356,1360,380,1201.56,347.32
2777,816,0,930.92,27.36
1819,1020,684,1057.4,514.52
1602,476,760,319.6,694.64
1176,0,76,1000.28,19.0
2273,612,684,554.2,630.8
2384,1088,228,743.92,228.0
43,68,152,344.08,164.16
89,340,304,285.6,330.6
146,1360,456,1336.88,364.8
2242,1360,532,1094.12,456.76
251,1360,0,1260.04,46.36
1953,204,380,251.6,361.76
378,0,532,661.64,451.44
1617,136,0,469.88,535.8
1007,1360,228,1302.88,177.08
1659,136,152,245.48,191.52
2009,1156,532,964.24,440.8
528,204,228,242.08,224.2
455,952,760,657.56,723.52
781,272,304,342.04,272.84
1502,748,380,665.72,342.76
994,476,228,384.2,266.0
2918,408,532,364.48,427.88
809,748,380,748.68,405.08
2320,1020,0,1007.76,11.4
1535,136,532,292.4,384.56
262,680,76,422.28,79.04
2879,612,380,454.24,475.0
2374,408,228,327.76,228.0
91,476,304,323.0,408.12
2648,544,380,492.32,392.16
2951,1224,608,927.52,654.36
1453,272,228,269.96,229.52
158,748,532,705.84,527.44
630,0,608,748.68,596.6
1211,952,152,367.88,189.24
