,x1,y1,x2,y2
1907,1360,152,1142.2802,163.06029
2805,1292,76,1220.3944,88.63907
128,136,456,236.46928,469.41284
401,136,608,277.3213,664.8457
511,476,152,414.91788,198.36761
122,1156,380,1098.8701,353.015
584,1156,380,1146.2129,360.13522
1665,544,152,459.5857,171.86884
699,408,0,448.4739,36.97901
715,68,76,348.20132,115.66472
297,204,228,205.07425,251.65994
2945,816,608,670.1287,576.3932
2056,68,760,240.4211,600.35
1431,204,152,265.7705,224.91019
2063,544,760,479.8409,237.527
1793,680,608,575.4606,414.4758
2252,612,608,548.0078,457.3853
1597,68,760,485.314,368.724
924,0,0,432.7361,244.50908
449,544,760,194.00665,759.3067
1516,272,456,349.76212,513.6111
324,612,304,457.43585,351.1723
2624,340,304,191.20091,317.4038
1955,340,380,232.87914,391.66272
1815,748,684,622.23566,283.74066
1694,1088,228,944.9918,297.98444
1327,272,608,292.15768,622.84985
2489,1088,608,1200.183,608.42596
2476,204,608,381.3737,632.9582
620,748,532,699.53046,546.07623
943,1292,0,1264.1881,73.6977
1361,1156,684,1010.95917,698.784
2301,1088,760,319.01535,754.70496
45,204,152,203.35289,92.24537
2345,1292,76,1305.1836,132.07698
2697,1020,532,833.068,462.9459
1248,612,304,602.8447,161.72595
1455,408,228,250.35794,233.15187
101,1156,304,1152.5286,319.9695
2104,544,76,659.36664,11.178018
1163,544,0,594.4449,-53.340115
2143,340,228,394.72525,146.84059
1078,476,532,415.12784,553.06726
2608,680,228,742.38354,206.27596
2145,476,228,321.9588,253.96573
619,680,532,509.13895,550.9614
2120,204,152,207.7553,124.80662
1861,1088,0,1220.1011,-10.704955
2564,544,76,740.34796,145.8154
49,476,152,388.9962,172.27928
242,748,0,649.67224,-34.549065
1430,136,152,230.705,277.09088
473,748,0,875.1105,-46.726162
1924,1088,228,1042.0316,445.45114
538,884,228,918.7339,276.19687
1057,476,456,260.14386,375.07053
2838,680,228,845.2915,169.1826
2112,1088,76,929.699,135.2408
1107,1020,608,1058.41,596.0005
1897,680,152,594.27985,114.274895
2000,544,532,641.54736,559.19476
331,1088,304,1140.1243,346.664
1219,68,228,520.23834,264.76178
1928,1360,228,1055.7496,525.6264
2045,748,684,596.4816,657.9473
1283,136,456,241.31569,411.1795
2779,952,0,913.1897,-15.478382
1445,1156,152,1278.1588,235.40009
636,408,608,274.1553,510.45944
681,612,760,624.3984,729.4444
2093,1224,0,1255.9791,186.83006
98,952,304,981.4944,283.86624
64,68,228,387.03113,227.51328
2190,680,380,609.20636,394.87418
2679,1224,456,1105.5417,333.79535
1354,680,684,441.64145,723.6076
356,1360,380,1177.371,333.5451
2777,816,0,834.3142,38.755928
1819,1020,684,1082.0653,642.30493
1602,476,760,208.4091,745.525
