alpha,beta,distance,lpx,lpy,lvx,lvy,lvz,rpx,rpy,rvx,rvy,rvz,x,y
1.292,-1.393,55.0,321,197,-4.418343171448793,49.025336804613374,158.43292989026662,395,200,-36.54643483142848,41.107361083308575,581.567396699952,0,0
14.546,-5.367,55.0,321,198,5.0695976694716975,51.876090567212344,151.8893382220807,395,200,-19.86440674387523,61.9356684948703,571.7757191245495,68,0
14.09,-5.309,57.5,321,198,7.79676415249579,51.95302084583912,150.17057819331194,395,201,-12.137048919539033,61.23414140033155,567.561920546247,136,0
14.812,-4.628,57.5,321,198,9.57290587364735,50.66977509388494,148.72582624903967,395,201,-12.01180192275256,59.94397487809965,567.2583833168849,204,0
14.377,-5.515,55.0,320,198,12.471912790002527,53.96777208672671,147.21175889250557,395,201,-10.26707374840975,74.36906828892484,568.3141076655302,272,0
15.124,-4.958,55.0,320,198,19.3262040331796,49.68003453612977,141.74973227643167,394,201,-4.740761440362512,71.97877869940314,564.089472209392,340,0
13.56,-6.306,55.0,318,199,21.12603567557675,54.44844361836343,141.3054312183262,393,201,-4.976955471568253,79.43842335019544,565.5057159586174,408,0
14.326,-5.595,55.0,317,199,25.569717402706907,52.38849405986896,137.8456726635646,392,202,-15.47741988040638,78.06306268505453,572.1315865328766,476,0
13.943,-5.333,55.0,316,199,27.42188532646582,51.74531545029231,136.50945710819275,392,202,-9.931155897740659,77.95188190183389,568.8265036782536,544,0
11.261,-5.88,55.0,316,199,29.865754168424864,51.123898350587794,134.59821159264985,391,202,-13.4844193420493,76.82536431196708,569.8210903610268,612,0
10.808,-5.582,55.0,315,199,34.68265626610039,53.361925467264285,131.54093373763845,391,201,-9.568396829412443,77.50201707598774,566.9276221956466,680,0
13.943,-5.333,55.0,315,199,40.75733393807155,51.561484000925546,127.2501476667436,390,202,1.251716991096778,77.5030872388127,561.0123047345958,748,0
13.965,-4.151,55.0,314,199,42.89321419264697,49.13582328586679,125.31863526403455,390,202,2.952035682601842,61.962209309687836,557.0940576318061,816,0
14.279,-4.45,52.5,314,199,49.6937181856941,48.469739965593675,120.46988170155169,390,202,5.432511194425455,60.24821392203222,554.5657895994736,884,0
14.835,-4.719,52.5,314,199,51.44261824285598,46.02070409503315,118.94963363303222,389,202,8.864598999859606,58.28564077407722,552.1505760404382,952,0
16.606,-3.658,52.5,314,199,52.682456497921685,48.1837843522101,118.33250460259703,389,202,27.576633706666666,63.562324680998486,540.4809630128589,1020,0
13.951,-4.243,52.5,313,199,53.51522917950748,52.44375378932676,118.52479460056782,388,202,15.986347953776384,62.40367085469839,548.1498931412121,1088,0
16.377,-3.84,52.5,313,200,60.76511748933358,49.368173958812264,113.00904621470372,388,203,35.173653278878206,59.76562303742469,534.7917164936407,1156,0
17.062,-4.021,52.5,312,200,63.968482723076036,49.391029144030824,110.75622392890057,388,203,30.140708213328036,65.09834828608143,539.7615345429119,1224,0
15.879,-4.0,52.5,312,200,63.97000850305945,47.784839520533865,110.45720649774285,388,203,29.28280856823211,61.58410131303708,539.0960991261469,1292,0
15.903,-4.32,55.0,312,200,67.13577020042378,49.37036042014135,108.49302628452082,388,204,44.980947832432506,73.70842791614547,530.4608404060233,1360,0
15.313,-3.939,55.0,315,197,47.14931820525057,52.434035012898875,122.96694653667845,391,199,20.052658460103157,68.35700331431059,546.6120500394994,0,76
14.174,-4.33,55.0,317,193,32.294818677788435,51.48368632054289,133.08968652999334,393,196,14.341641649765233,73.45193726079455,551.1968876374909,68,76
14.417,-4.727,55.0,319,190,25.02799186363412,49.53887052020872,137.69311108957652,396,192,12.319670409825374,65.79245325370715,550.4804907001208,136,76
14.647,-4.538,55.0,320,188,16.177157575974825,48.56301102068868,143.80420091217624,398,190,4.60712083474105,67.68081886447617,556.9015044933944,204,76
13.943,-4.208,55.0,321,186,10.612472016614838,45.06768029843077,146.91180768088915,399,188,-8.587985357621186,58.57189566492072,563.2832378531448,272,76
13.606,-4.717,55.0,321,187,15.420491762763696,46.64120000775047,143.83797245141128,399,189,6.605069438681181,70.30862275211675,554.9813550636488,340,76
16.403,-3.851,55.0,321,187,23.334969822038623,46.2475991710687,138.3683956401026,400,189,11.73373966568651,59.528377966210755,549.7947714296065,408,76
13.986,-5.062,55.0,321,187,28.696039165413957,47.38143621199805,134.75105285970773,400,190,10.651117511677949,69.1505126928619,551.5009174525271,476,76
13.35,-5.512,52.5,321,188,30.135596245561793,54.980410979911795,135.04706776225981,400,190,11.123395489471829,83.18188658382,553.5700243845613,544,76
15.268,-5.088,52.5,321,188,35.75143852396891,51.39892018379578,130.70817547889197,400,190,27.455550867608263,79.54906694073657,542.3378331804222,612,76
14.907,-5.779,52.5,320,188,40.17577169438595,52.506520899439664,127.66218432037164,399,191,31.10775500842875,83.73027123296826,540.0428186008247,680,76
14.907,-5.779,52.5,320,188,44.53874753365135,51.243323168174186,124.4403668730451,399,191,34.98848727211306,81.96510338395555,537.0697995224441,748,76
12.399,-6.058,52.5,319,189,42.40389097989168,54.40986004118459,126.52933161026172,398,191,26.42301806823242,83.06776028721251,543.4874575646144,816,76
14.332,-5.259,52.5,318,189,50.69081794280108,52.113871676882724,120.4644609791053,397,191,34.28253415294442,82.09231006030183,538.5170553089775,884,76
14.4,-6.199,52.5,317,189,57.050842273414666,51.91554691632348,115.96122143312965,396,191,40.10887792749078,87.18834001045515,535.1378499846569,952,76
14.4,-6.199,52.5,316,189,61.32236051185687,51.19728694726081,112.88857975268459,395,191,44.218636786410244,86.04146262524925,532.1051519134406,1020,76
15.037,-5.564,50.0,316,189,59.29877078353217,50.719552111795224,114.19910599191908,395,191,47.05260415058844,85.18541872283106,529.8560157989485,1088,76
14.17,-5.736,52.5,315,189,62.8421264663133,49.54737188953703,111.55453778625383,395,192,49.69414891060548,83.91879263745855,527.818694821093,1156,76
14.733,-5.3,52.5,315,189,61.419778756096164,49.24714736946606,112.50998845428288,394,192,51.46339138660609,82.62344247364302,526.8347700171481,1224,76
12.148,-6.015,52.5,314,189,63.46860262990147,50.13337509227834,111.2544952138177,394,192,41.75757710496411,82.59448108210617,533.8148516247167,1292,76
12.506,-4.779,52.5,314,189,62.83039384534116,46.87574004152968,111.22050541078718,393,192,45.41948715860981,68.0469986287939,529.4424017176202,1360,76
13.492,-4.709,52.5,317,190,47.88462825064692,52.15119092991904,122.43367815342961,396,192,39.39704391348302,80.8635188566469,535.0960650500035,0,152
12.574,-6.452,55.0,320,190,31.484981508314,52.970877952309294,133.9167550928354,398,193,22.014574394592284,93.07143531621834,548.8148344394638,68,152
13.536,-5.583,55.0,322,190,21.52503094138728,51.32152871098606,140.39835282864854,400,193,14.436113330950246,83.54572915819489,552.1164252848782,136,152
12.296,-6.187,55.0,323,191,15.158926078060396,50.56152421690071,144.612027769173,402,193,4.944580226263792,83.16025204882494,558.113466818065,204,152
11.36,-7.289,52.5,324,191,6.894037989668838,59.27387445886244,151.79388924102767,403,193,-2.4072560317757947,99.52103204138442,565.9763796243666,272,152
12.006,-7.211,52.5,324,191,13.767321717755259,59.82395870591738,147.14176973107737,402,193,3.0251032053709928,99.01010083517549,562.1412645694886,340,152
10.742,-7.667,52.5,322,191,18.681503681607772,60.527846777465925,143.95181005600259,401,193,-5.787117693877001,110.16024356962272,570.0393089785525,408,152
11.707,-6.508,52.5,321,190,23.32461212401099,56.748626138854576,140.3049434837387,400,193,0.7810203017994368,96.2433059591007,564.5362846008273,476,152
11.707,-6.508,52.5,321,191,28.840758669381295,55.65637943703325,136.30462995086728,400,193,5.412430446029287,95.1644141600038,561.1503609210262,544,152
13.389,-5.88,52.5,320,191,34.098630018587436,54.836692466199636,132.40403715133124,399,193,9.122598979248533,86.22600899619408,556.7336514120192,612,152
13.714,-6.68,52.5,319,191,38.89773638852389,56.347958992975265,129.2806239752257,399,193,13.532512624252899,100.60885488395706,555.9341106735694,680,152
14.103,-6.751,52.5,318,191,44.269603781928275,52.77538290536347,124.90836823379337,398,193,25.8327826477322,96.85829538167418,546.0384750394167,748,152
11.244,-7.164,52.5,318,191,44.12666965723269,51.373189594780854,124.83090226203393,397,193,18.28889518444539,97.58933129555828,552.1391038897176,816,152
13.087,-6.18,52.5,316,192,47.248710514536775,54.53719966377267,123.25993046830317,396,193,33.73553602051739,96.11576923367143,541.1587111699118,884,152
12.117,-6.322,52.5,315,192,51.75062818817573,52.846458080182,119.84055874692643,395,193,26.997115462478046,95.7220885920647,545.3834921072572,952,152
9.844,-6.713,52.5,314,192,50.873036915022304,52.663292703988034,120.41595376757635,394,194,27.148130885729568,95.04789788471487,545.1661865732319,1020,152
12.014,-6.327,50.0,314,192,56.58602877316064,52.722378462085786,116.48025157403154,393,194,33.534793547434205,94.19096228505484,540.6116775256703,1088,152
11.921,-5.754,50.0,313,192,56.22088944150561,53.26236937354584,116.73493416888488,392,194,37.09071434959294,86.02077722525414,536.9243098768827,1156,152
11.921,-5.754,52.5,313,192,60.047243304424335,53.83129413777122,114.18618844987753,392,194,39.91495041893508,85.03829877487533,534.808087212556,1224,152
11.921,-5.754,52.5,312,192,62.78394372403959,54.239701321146114,112.36351523073927,391,194,42.219814886189866,83.61601895313693,532.977064881534,1292,152
12.241,-5.62,52.5,312,191,61.96785652334536,49.742880854186495,112.23861431211526,391,194,44.7606675389773,90.41744680814513,532.9536119776776,1360,152
11.583,-6.041,52.5,314,191,50.9702474511385,49.914634468947014,119.84450936211138,393,194,30.97746903553381,91.37647869636191,542.1707630033509,0,228
9.571,-7.076,52.5,316,192,33.23758151440352,51.36456244667306,132.3696426493796,395,194,3.281088017522489,95.13652518127412,562.2334212856264,68,228
9.571,-7.076,52.5,318,192,19.686878722759722,52.03439720630209,141.85328678679255,396,194,-7.7629259357163605,97.98024216171059,570.3483415184719,136,228
9.571,-7.076,52.5,319,192,9.842137603336049,52.245245983190216,148.69697926691396,397,193,-15.647711215162438,100.09621392297316,576.1563098413113,204,228
9.258,-6.961,52.5,320,192,6.3540544748208205,51.627453680572046,150.80604194387647,398,193,-22.752313273489925,92.12814120396325,578.835621263052,272,228
9.804,-7.289,52.5,319,192,11.360140398747824,51.76321749230817,147.5031194011221,398,193,-18.48990139990908,101.68957257128176,577.8541934169593,340,228
10.274,-7.109,52.5,318,192,12.644615518835415,51.192158980310154,146.48630807931124,397,193,-5.51199677697101,99.58860841458744,568.25104763221,408,228
7.927,-7.535,52.5,318,192,15.533376908334127,50.40477775525926,144.31388435418577,396,193,-16.456952476905762,99.87270839272364,575.4425840675669,476,228
10.121,-7.286,52.5,316,192,25.185982001794507,53.50468792858082,138.32617203333737,395,193,-9.335729447317668,100.78066032498292,571.6116895523398,544,228
12.07,-6.517,52.5,316,192,32.37865521921744,49.4344059212779,132.65281027631917,395,194,-4.022121422672846,89.45011756873205,565.9811517732373,612,228
12.07,-6.517,52.5,315,192,37.68890106330118,47.4737995178117,128.65467160152076,394,194,-0.17568521033683027,87.67604194460525,563.025773054405,680,228
11.169,-7.238,52.5,314,193,37.44585312997315,50.46097628005177,129.307696526714,394,194,3.81676701572756,102.67065725442014,563.1273440836035,748,228
10.43,-6.623,52.5,314,193,40.08977056931271,48.97132485701671,127.05556911077022,393,194,7.59848260312317,91.61938065317615,557.628383295819,816,228
9.11,-6.942,52.5,313,193,43.78033054071815,53.54175238081076,125.35002214988057,392,194,11.890954356149262,91.14662529204222,554.8164239144604,884,228
10.708,-6.761,50.0,313,193,49.24104116091123,52.22289038987644,121.40256153774294,392,194,17.969720897985706,90.69099755455679,551.1997813790248,952,228
7.585,-7.142,50.0,312,193,50.109900069377424,51.29046238931947,120.62090024640693,391,194,8.020097428249056,89.84240147863362,557.5523948963062,1020,228
7.477,-6.926,50.0,311,193,49.499057309564215,50.85825907165824,121.00347616049709,390,195,12.751320970712964,89.14980241125568,554.6753572276341,1088,228
8.378,-6.951,50.0,311,193,53.70810296682506,50.346945369626766,117.9606261575305,390,195,24.106676309295562,86.96002337203399,545.6813045814495,1156,228
7.458,-7.07,50.0,310,193,55.20990465636523,48.65522089879477,116.6187244048084,389,195,14.306409801673066,85.09055911136964,551.7423906925758,1224,228
8.068,-6.204,50.0,310,193,53.995688571976636,50.018432379351836,117.71388953057314,389,195,16.46121267134522,84.66352374145124,550.6926319012498,1292,228
8.068,-6.204,50.0,309,193,57.09719520330665,49.45872424631156,115.47818567359826,389,195,18.55721932406983,83.20138829063524,549.0002621308778,1360,228
6.681,-7.443,52.5,312,193,41.92903810733829,49.830404021867906,126.11164848026388,391,195,4.5311026683794005,95.83865648788762,561.6194737780983,0,304
6.678,-6.636,52.5,315,192,25.653405938624893,49.37953164824958,137.30353468189304,394,195,-15.509235417355477,82.69854312848616,572.9202429726397,68,304
9.348,-6.81,52.5,317,192,17.427454269459353,51.68825978746669,143.49150625184757,396,194,-15.032664273663094,91.73663820450074,574.3333382882313,136,304
9.345,-6.929,52.5,319,192,6.4844397599478825,51.23977580119798,151.0679847491868,397,195,-24.477096078659024,92.33068153469593,581.6624516036147,204,304
8.945,-7.151,52.5,320,192,1.5518152213241123,51.13307962881943,154.39405619808878,399,195,-33.61292014706316,91.90178858400279,587.3640333986947,272,304
7.978,-6.957,50.0,320,192,5.042397871497592,50.908875115098425,151.94240945055043,398,195,-31.791693922737174,91.69949379507072,586.0705351630122,340,304
7.402,-7.022,52.5,319,192,9.048415700828535,45.94259199150018,148.25353457942447,398,195,-28.764325069064334,91.64728326749828,583.7382989727814,408,304
7.973,-7.046,52.5,319,192,14.075998212919124,45.34286705285868,144.67706429474032,398,195,-25.57227900281236,91.11584290406768,581.4422762766698,476,304
9.121,-6.357,52.5,318,192,20.115890290905547,49.30535635953345,141.24858965340385,397,195,-21.27810990342828,90.06591409414038,578.5251272952883,544,304
9.187,-6.017,52.5,317,193,25.142646273892773,47.273811299087,137.30583236950426,396,195,-16.87415006405859,80.61046915722275,573.5401189392908,612,304
10.114,-6.718,52.5,317,194,34.94299739090939,48.09072404315539,130.7451453707792,396,197,-12.38296144961037,88.4539591765689,571.5603567913702,680,304
8.966,-6.679,52.5,316,196,37.22970108820589,43.26837144313305,128.3561753826891,396,199,-9.479666674963134,82.07996456817537,568.4850389180045,748,304
7.758,-8.28,52.5,316,197,36.69411849697996,46.29184134465615,129.11680332788958,395,200,-7.589275171235208,94.25545206380724,568.351636326973,816,304
6.08,-8.357,52.5,316,198,36.55196086318204,46.88012643835974,129.383248729544,395,201,-14.349495106491013,94.56899755263275,573.9139031590488,884,304
6.453,-7.693,52.5,316,199,43.17467721220202,42.65018009056084,124.1169957202124,395,202,-11.86136240155701,76.68198465060368,568.8128047192898,952,304
6.864,-7.735,52.5,315,199,46.871647541036786,49.60716728384362,122.83819741907001,394,202,-4.234411722444172,91.79485089496069,567.3960733493025,1020,304
1.68,-4.542,50.0,315,200,50.994288926617166,46.89588219926817,119.52874991715791,393,203,1.4071629928432756,89.15377170235445,563.0472433385099,1088,304
10.202,-7.323,50.0,314,200,54.249141005495964,43.56060598636856,116.64836969163687,393,203,13.000603689397007,76.76363022543103,552.0636583312767,1156,304
9.715,-8.27,50.0,314,200,57.59808814627501,46.03599245436678,114.69525134853211,392,203,16.677835012122113,90.48008074303816,551.6608386820511,1224,304
